,Date,TCB
0,2020-01-02,23800
1,2020-01-03,23650
2,2020-01-06,23050
3,2020-01-07,23200
4,2020-01-08,22750
5,2020-01-09,23050
6,2020-01-10,23150
7,2020-01-13,22950
8,2020-01-14,22900
9,2020-01-15,22900
10,2020-01-16,23300
11,2020-01-17,23400
12,2020-01-20,23350
13,2020-01-21,24050
14,2020-01-22,24200
15,2020-01-30,22900
16,2020-01-31,21600
17,2020-02-03,21450
18,2020-02-04,21750
19,2020-02-05,21750
20,2020-02-06,22350
21,2020-02-07,22150
22,2020-02-10,21850
23,2020-02-11,22150
24,2020-02-12,22650
25,2020-02-13,22600
26,2020-02-14,23300
27,2020-02-17,23800
28,2020-02-18,23700
29,2020-02-19,23650
30,2020-02-20,23500
31,2020-02-21,23100
32,2020-02-24,21500
33,2020-02-25,22200
34,2020-02-26,22350
35,2020-02-27,22750
36,2020-02-28,22250
37,2020-03-02,22500
38,2020-03-03,22500
39,2020-03-04,22550
40,2020-03-05,22300
41,2020-03-06,22050
42,2020-03-09,20550
43,2020-03-10,20700
44,2020-03-11,19300
45,2020-03-12,17950
46,2020-03-13,18250
47,2020-03-16,17450
48,2020-03-17,17950
49,2020-03-18,17950
50,2020-03-19,17250
51,2020-03-20,17350
52,2020-03-23,16149
53,2020-03-24,16100
54,2020-03-25,16600
55,2020-03-26,16100
56,2020-03-27,16000
57,2020-03-30,14900
58,2020-03-31,15000
59,2020-04-01,15500
60,2020-04-03,15850
61,2020-04-06,16950
62,2020-04-07,16950
63,2020-04-08,16700
64,2020-04-09,16900
65,2020-04-10,16750
66,2020-04-13,17200
67,2020-04-14,17150
68,2020-04-15,17550
69,2020-04-16,17550
70,2020-04-17,17750
71,2020-04-20,17700
72,2020-04-21,16850
73,2020-04-22,16900
74,2020-04-23,16950
75,2020-04-24,17100
76,2020-04-27,17050
77,2020-04-28,17100
78,2020-04-29,17200
79,2020-05-04,17400
80,2020-05-05,17400
81,2020-05-06,17550
82,2020-05-07,17700
83,2020-05-08,18900
84,2020-05-11,20200
85,2020-05-12,20600
86,2020-05-13,20600
87,2020-05-14,20500
88,2020-05-15,20250
89,2020-05-18,20650
90,2020-05-19,21300
91,2020-05-20,21050
92,2020-05-21,22000
93,2020-05-22,21050
94,2020-05-25,21050
95,2020-05-26,21150
96,2020-05-27,20900
97,2020-05-28,20900
98,2020-05-29,20700
99,2020-06-01,21300
100,2020-06-02,21150
101,2020-06-03,21350
102,2020-06-04,21200
103,2020-06-05,21450
104,2020-06-08,21700
105,2020-06-09,21550
106,2020-06-10,21850
107,2020-06-11,20900
108,2020-06-12,21150
109,2020-06-15,20100
110,2020-06-16,20600
111,2020-06-17,20300
112,2020-06-18,20200
113,2020-06-19,20500
114,2020-06-22,20750
115,2020-06-23,20650
116,2020-06-24,20500
117,2020-06-25,20200
118,2020-06-26,20350
119,2020-06-29,19650
120,2020-06-30,19550
121,2020-07-01,19800
122,2020-07-02,19750
123,2020-07-03,19800
124,2020-07-06,20250
125,2020-07-07,20250
126,2020-07-08,20100
127,2020-07-09,20950
128,2020-07-10,20450
129,2020-07-13,20300
130,2020-07-14,20100
131,2020-07-15,20600
132,2020-07-16,21000
133,2020-07-17,20600
134,2020-07-20,20500
135,2020-07-21,20500
136,2020-07-22,20250
137,2020-07-23,20300
138,2020-07-24,19500
139,2020-07-27,18150
140,2020-07-28,18750
141,2020-07-29,18150
142,2020-07-30,18600
143,2020-07-31,18150
144,2020-08-03,18600
145,2020-08-04,18850
146,2020-08-05,19450
147,2020-08-06,19200
148,2020-08-07,19150
149,2020-08-10,19400
150,2020-08-11,19450
151,2020-08-12,19650
152,2020-08-13,19800
153,2020-08-14,19800
154,2020-08-17,20100
155,2020-08-18,20050
156,2020-08-19,20200
157,2020-08-20,20000
158,2020-08-21,20350
159,2020-08-24,20950
160,2020-08-25,21300
161,2020-08-26,21100
162,2020-08-27,21150
163,2020-08-28,21600
164,2020-08-31,21300
165,2020-09-01,21700
166,2020-09-03,22000
167,2020-09-04,21850
168,2020-09-07,21200
169,2020-09-08,21500
170,2020-09-09,21200
171,2020-09-10,21450
172,2020-09-11,21300
173,2020-09-14,21500
174,2020-09-15,21350
175,2020-09-16,21400
176,2020-09-17,21300
177,2020-09-18,21800
178,2020-09-21,22300
179,2020-09-22,22350
180,2020-09-23,22300
181,2020-09-24,22450
182,2020-09-25,22400
183,2020-09-28,22850
184,2020-09-29,22550
185,2020-09-30,22600
186,2020-10-01,22800
187,2020-10-02,22550
188,2020-10-05,22550
189,2020-10-06,22400
190,2020-10-07,21800
191,2020-10-08,21350
192,2020-10-09,21350
193,2020-10-12,21200
194,2020-10-13,21400
195,2020-10-14,22850
196,2020-10-15,22850
197,2020-10-16,22650
198,2020-10-19,23000
199,2020-10-20,23900
200,2020-10-21,23750
201,2020-10-22,23950
202,2020-10-23,24000
203,2020-10-26,23350
204,2020-10-27,23300
205,2020-10-28,22400
206,2020-10-29,21800
207,2020-10-30,21350
208,2020-11-02,21400
209,2020-11-03,22000
210,2020-11-04,22150
211,2020-11-05,21800
212,2020-11-06,21600
213,2020-11-09,22050
214,2020-11-10,22100
215,2020-11-11,22000
216,2020-11-12,22300
217,2020-11-13,23000
218,2020-11-16,22900
219,2020-11-17,23350
220,2020-11-18,23350
221,2020-11-19,23400
222,2020-11-20,23400
223,2020-11-23,23600
224,2020-11-24,23650
225,2020-11-25,23600
226,2020-11-26,23600
227,2020-11-27,23700
228,2020-11-30,24100
229,2020-12-01,24500
230,2020-12-02,25100
231,2020-12-03,25000
232,2020-12-04,24800
233,2020-12-07,25050
234,2020-12-08,25000
235,2020-12-09,25750
236,2020-12-10,25300
237,2020-12-11,25650
238,2020-12-14,26200
239,2020-12-15,26150
240,2020-12-16,27950
241,2020-12-17,28350
242,2020-12-18,29200
243,2020-12-21,29400
244,2020-12-22,29200
245,2020-12-23,28700
246,2020-12-24,27950
247,2020-12-25,29550
248,2020-12-28,29700
249,2020-12-29,29750
250,2020-12-30,29900
251,2020-12-31,31500
252,2021-01-04,33000
253,2021-01-05,33050
254,2021-01-06,33200
255,2021-01-07,34600
256,2021-01-08,35700
257,2021-01-11,35250
258,2021-01-12,35100
259,2021-01-13,35150
260,2021-01-14,35750
261,2021-01-15,36850
262,2021-01-18,36200
263,2021-01-19,33900
264,2021-01-20,34500
265,2021-01-21,36200
266,2021-01-22,36300
267,2021-01-25,35800
268,2021-01-26,35000
269,2021-01-27,33500
270,2021-01-28,31200
271,2021-01-29,32000
272,2021-02-01,32200
273,2021-02-02,34000
274,2021-02-03,35000
275,2021-02-04,35000
276,2021-02-05,36300
277,2021-02-08,35000
278,2021-02-09,36000
279,2021-02-17,38400
280,2021-02-18,38900
281,2021-02-19,38700
282,2021-02-22,38600
283,2021-02-23,39800
284,2021-02-24,39100
285,2021-02-25,39100
286,2021-02-26,39250
287,2021-03-01,40200
288,2021-03-02,40300
289,2021-03-03,40350
290,2021-03-04,39050
291,2021-03-05,39200
292,2021-03-08,38850
293,2021-03-09,38950
294,2021-03-10,39300
295,2021-03-11,40150
296,2021-03-12,40050
297,2021-03-15,40100
298,2021-03-16,39850
299,2021-03-17,40300
300,2021-03-18,41950
301,2021-03-19,42000
302,2021-03-22,41300
303,2021-03-23,40450
304,2021-03-24,39300
305,2021-03-25,39350
306,2021-03-26,39400
307,2021-03-29,39550
308,2021-03-30,40050
309,2021-03-31,40400
310,2021-04-01,41000
311,2021-04-02,41250
312,2021-04-05,41500
313,2021-04-06,42200
314,2021-04-07,42200
315,2021-04-08,41950
316,2021-04-09,41600
317,2021-04-12,42150
318,2021-04-13,41600
319,2021-04-14,41800
320,2021-04-15,40900
321,2021-04-16,40450
322,2021-04-19,41600
323,2021-04-20,41150
324,2021-04-22,39700
325,2021-04-23,40500
326,2021-04-26,39450
327,2021-04-27,39500
328,2021-04-28,39950
329,2021-04-29,41000
330,2021-05-04,43400
331,2021-05-05,45950
332,2021-05-06,47100
333,2021-05-07,47050
334,2021-05-10,48100
335,2021-05-11,47000
336,2021-05-12,49250
337,2021-05-13,48000
338,2021-05-14,48650
339,2021-05-17,47850
340,2021-05-18,48350
341,2021-05-19,50100
342,2021-05-20,50200
343,2021-05-21,50800
344,2021-05-24,50900
345,2021-05-25,51600
346,2021-05-26,52800
347,2021-05-27,51400
348,2021-05-28,53000
349,2021-05-31,53700
350,2021-06-01,53100
351,2021-06-02,52800
352,2021-06-03,54800
353,2021-06-04,54600
354,2021-06-07,52400
355,2021-06-08,49500
356,2021-06-09,50800
357,2021-06-10,50100
358,2021-06-11,52600
359,2021-06-14,52700
360,2021-06-15,52300
361,2021-06-16,50700
362,2021-06-17,50200
363,2021-06-18,51000
364,2021-06-21,50400
365,2021-06-22,50900
366,2021-06-23,51100
367,2021-06-24,50900
368,2021-06-25,51600
369,2021-06-28,53600
370,2021-06-29,53500
371,2021-06-30,52700
372,2021-07-01,53300
373,2021-07-02,54300
374,2021-07-05,58000
375,2021-07-06,54000
376,2021-07-07,56600
377,2021-07-08,56600
378,2021-07-09,56600
379,2021-07-12,53500
380,2021-07-13,53900
381,2021-07-14,51000
382,2021-07-15,52100
383,2021-07-16,51600
384,2021-07-19,48000
385,2021-07-20,49500
386,2021-07-21,50300
387,2021-07-22,51100
388,2021-07-23,49500
389,2021-07-26,49000
390,2021-07-27,49750
391,2021-07-28,49700
392,2021-07-29,50600
393,2021-07-30,51100
394,2021-08-02,50800
395,2021-08-03,51800
396,2021-08-04,52000
397,2021-08-05,52500
398,2021-08-06,51800
399,2021-08-09,52500
400,2021-08-10,52300
401,2021-08-11,52300
402,2021-08-12,52000
403,2021-08-13,52200
404,2021-08-16,54000
405,2021-08-17,53300
406,2021-08-18,52800
407,2021-08-19,53000
408,2021-08-20,50500
409,2021-08-23,48750
410,2021-08-24,49000
411,2021-08-25,49150
412,2021-08-26,48300
413,2021-08-27,48050
414,2021-08-30,49200
415,2021-08-31,48500
416,2021-09-01,48300
417,2021-09-06,48950
418,2021-09-07,49650
419,2021-09-08,48800
420,2021-09-09,49300
421,2021-09-10,49300
422,2021-09-13,48950
423,2021-09-14,48500
424,2021-09-15,48400
425,2021-09-16,49100
426,2021-09-17,49750
427,2021-09-20,50700
428,2021-09-21,50400
429,2021-09-22,50500
430,2021-09-23,50200
431,2021-09-24,50600
432,2021-09-27,49500
433,2021-09-28,49800
434,2021-09-29,49400
435,2021-09-30,49600
436,2021-10-01,49000
437,2021-10-04,48350
438,2021-10-05,49100
439,2021-10-06,50300
440,2021-10-07,50000
441,2021-10-08,50700
442,2021-10-11,53000
443,2021-10-12,53000
444,2021-10-13,52400
445,2021-10-14,52500
446,2021-10-15,52600
447,2021-10-18,52900
448,2021-10-19,52700
449,2021-10-20,53200
450,2021-10-21,52900
451,2021-10-22,52300
452,2021-10-25,50900
453,2021-10-26,51000
454,2021-10-27,51500
455,2021-10-28,51800
456,2021-10-29,51600
457,2021-11-01,51600
458,2021-11-02,51600
459,2021-11-03,53700
460,2021-11-04,53300
461,2021-11-05,53000
462,2021-11-08,52600
463,2021-11-09,52300
464,2021-11-10,51700
