,Date,ACB,MWG,MSN,BID,VRE,POW,PLX,HPG,VNM,VHM,TCB,HDB,VIB,VCB,VJC,VIC,FPT,CTG,TPB,BVH,GVR,SAB,BCM,MBB,GAS,SSB,SHB,SSI,STB,VPB
0,2020-01-02,9460,37730,46160,32369,34350,11352,48590,10930,81400,62600,23800,8910,5690.0,59070,148000,102210,28950,14350,8370,61390,10150.0,100180,28160.0,9680,68440,,2990.0,8740,10200,7250
1,2020-01-03,9460,37170,46570,32229,34600,11161,49100,11000,81660,62820,23650,8830,5650.0,58480,148000,102477,28460,14220,8450,61040,10500.0,100440,27880.0,9700,68590,,2900.0,8670,10200,7200
2,2020-01-06,9260,36990,45830,31610,33650,10827,49280,10930,81040,61500,23050,8650,5560.0,56920,146000,101766,28160,14250,8310,60150,10320.0,100080,27590.0,9560,70760,,2860.0,8640,10050,7030
3,2020-01-07,9260,37270,46000,32229,33950,10731,48590,10790,81800,61790,23200,8560,5560.0,57110,145900,101943,28700,14490,8330,60060,10050.0,100180,26830.0,9580,70250,,2860.0,8670,10150,7180
4,2020-01-08,9090,36370,45350,32509,32700,10254,47910,10680,82000,60830,22750,8560,5470.0,56590,144800,101588,28060,14450,8210,58720,9700.0,99810,26640.0,9450,70180,,2860.0,8430,9980,7090
5,2020-01-09,9210,36920,46160,34270,34000,10398,48330,10930,81880,61420,23050,8820,5500.0,57700,146200,101943,28460,14990,8290,57920,9870.0,101510,26450.0,9600,68870,,2900.0,8520,10150,7320
6,2020-01-10,9340,37110,45750,35410,33950,10588,47910,11020,82070,62310,23150,9010,5500.0,58220,146200,102032,28410,15720,8450,59610,10050.0,104410,26450.0,9770,69380,,3170.0,8690,10500,7430
7,2020-01-13,9410,36920,46160,34580,33750,10493,48070,11040,81040,63630,22950,8940,5580.0,58160,146500,102121,28200,15490,8470,59350,10150.0,104600,27310.0,9720,68950,,3210.0,8690,10400,7260
8,2020-01-14,9660,36730,45830,34580,33750,10398,47730,11390,81320,63630,22900,8970,5650.0,58160,146000,102210,28160,15690,8530,58720,10050.0,104190,27590.0,9820,68660,,3210.0,8740,10300,7460
9,2020-01-15,9580,36760,45750,35200,33200,10398,47640,11450,81320,63630,22900,8900,5580.0,58090,146000,102210,28160,15760,8550,58640,9960.0,104640,27400.0,9790,68010,,3310.0,8740,10250,7630
10,2020-01-16,9830,37210,45520,37270,32800,10493,47910,11520,81590,63490,23300,9180,5650.0,58220,146000,102210,28640,16620,8610,58720,10050.0,104330,27490.0,10040,67500,,3350.0,9070,10400,7710
11,2020-01-17,9790,37430,44540,36930,32600,10302,48330,11390,81880,63410,23400,9150,5620.0,61470,148200,102121,28460,16660,8470,58640,10240.0,104860,27680.0,10040,67430,,3250.0,9140,10600,7730
12,2020-01-20,9990,38240,43980,36790,32000,10207,48160,11610,82140,63410,23350,9060,5650.0,61150,147000,102121,28350,16760,8450,58190,10320.0,105540,27880.0,10040,67570,,3210.0,9140,10700,7940
13,2020-01-21,10070,38690,44140,37270,32600,10398,48940,11770,83520,64519,24050,9280,5760.0,61150,147000,102121,27410,16890,8450,58640,10590.0,104190,27590.0,10290,68660,,3310.0,9140,10900,8310
14,2020-01-22,10070,38430,43240,38310,32600,10588,49280,11980,83740,65920,24200,9300,5760.0,60760,146500,102121,27910,17090,8450,59610,10860.0,103970,27780.0,10220,68660,,3430.0,9170,10900,8330
15,2020-01-30,9710,36760,40570,36380,30950,10588,47640,11520,80500,64440,22900,8960,5580.0,57830,140000,102121,27010,16260,8410,56150,10320.0,97490,27490.0,9700,66560,,3350.0,8780,10350,8010
16,2020-01-31,9460,35730,40570,35550,30050,10016,45580,10980,74900,64519,21600,8650,5550.0,57700,130199,102032,25690,16290,8210,52320,9700.0,94810,26640.0,9490,62580,,3350.0,8410,10200,7920
17,2020-02-03,9300,35080,40490,36930,30200,9529,43860,11180,74760,62820,21450,8650,5550.0,57700,125500,102032,25440,16790,8150,49470,9330.0,93420,23030.0,9290,60190,,3530.0,8100,10250,7970
18,2020-02-04,9540,34790,40490,37550,29250,9062,43600,11200,72480,63190,21750,8830,5560.0,58420,129000,102032,25590,17960,8250,49560,9330.0,90780,23780.0,9650,59320,,3690.0,8070,10200,8270
19,2020-02-05,9460,34830,40490,36930,28950,9129,44290,11130,73590,63410,21750,9100,5580.0,57830,127000,101766,25690,17730,8290,50530,9420.0,86750,25690.0,9650,59030,,4010.0,8050,10250,8520
20,2020-02-06,9870,35310,40410,36720,30950,9587,44720,11480,74200,64000,22350,9580,5720.0,58160,127500,101677,26480,18530,8410,51960,9780.0,84960,25220.0,9950,62140,,4120.0,8410,10950,9000
21,2020-02-07,9790,35040,40410,35690,32000,9453,44540,11090,76080,64150,22150,9600,5650.0,58550,131200,101677,26330,17960,8180,53210,9780.0,87200,25590.0,9770,62220,,3850.0,8410,11150,8940
22,2020-02-10,9710,34110,40410,33890,31100,9234,44380,11090,75250,63560,21850,9450,5500.0,57830,129000,101055,25990,17760,8210,51160,9700.0,87200,24930.0,9580,62800,,3690.0,8330,10950,8680
23,2020-02-11,9750,34340,40410,35060,31400,9405,45410,10750,73990,63560,22150,9300,5580.0,58030,129000,100788,26480,18530,8250,51430,9780.0,86750,24260.0,9680,61920,,3910.0,8280,11350,8960
24,2020-02-12,10530,35140,40900,35060,31250,10064,45500,10840,73990,63780,22650,9370,5650.0,58160,129199,99544,26720,18160,8280,51160,9700.0,85410,24830.0,9880,62220,,3960.0,8460,11550,9120
25,2020-02-13,10490,34830,40650,34790,31450,10064,45840,10790,73800,63410,22600,9370,5900.0,58090,129199,99899,26830,18190,8280,51160,9700.0,87010,25500.0,9770,63300,,3910.0,8360,11500,9390
26,2020-02-14,10860,34530,40330,34510,31750,9921,45840,10790,73590,64590,23300,9170,5940.0,58090,128600,97766,26930,17890,8570,50720,10150.0,86460,24730.0,9920,64019,,3960.0,8460,11600,9580
27,2020-02-17,10860,34660,40240,35550,31400,9873,45660,10820,74200,63930,23800,9220,5910.0,58160,128699,95989,26780,17730,8570,50180,9960.0,84730,24730.0,10020,63160,,4010.0,8380,11650,9560
28,2020-02-18,10940,35110,40240,35890,30550,9873,45410,10610,72830,63410,23700,9180,5790.0,58160,128699,92878,27670,17830,8570,49920,10150.0,81090,24450.0,9920,62220,,3960.0,8330,11550,9670
29,2020-02-19,10820,35630,40820,35410,30150,9968,45500,10590,73460,63410,23650,9130,5870.0,58220,128400,93322,27510,18030,8370,50180,10590.0,81090,25790.0,9850,61710,,3800.0,8360,11400,9810
30,2020-02-20,10860,35660,41390,35410,30900,10398,45750,10820,73460,64080,23500,9100,5910.0,58220,128500,97766,27560,17960,8410,51160,10590.0,82000,25300.0,9880,61710,,3740.0,8360,11300,10070
